"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Properties", "SCSS", "HTML", "Docker", "CSS", "comment", "blank", "total"
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\.env", "Properties", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\.eslintrc.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\jest.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\project.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\app.controller.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\app.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\auth-handler\auth.controller.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\auth-handler\auth.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\auth-handler\auth.queries.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\auth-handler\auth.service.ts", "TypeScript", 0, 0, 118, 0, 0, 0, 0, 0, 0, 1, 15, 134
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\authentication-class-handler\authentication.class.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 8, 79
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\redis-handler\redis-tokens-handler.service.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 13, 74
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\redis-handler\redis.controller.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\redis-handler\redis.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\redis-handler\redis.provider.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\shared\interfaces\ngrx-store-user.interface.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\shared\modules\pg.module.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\shared\queries\start-app.queries.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\app\shared\services\pg.service.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 6, 38
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\src\main.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 6, 29
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\tests\auth.test.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\tsconfig.app.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\tsconfig.json", "JSON with Comments", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\tsconfig.spec.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\auth-backend\webpack.config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\.env", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\.eslintrc.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\jest.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\project.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\app.controller.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\app.module.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\chat-gateway\chat-data-gateway\chat-data-gateway.controller.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\chat-gateway\chat-data-gateway\chat-data-gateway.service.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 18, 123
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\chat-gateway\chat-gateway.module.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\chat-gateway\chat-socket-io\chat.gateway.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 15, 104
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\chat-gateway\redis-handler\redis-online-users.service.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\chat-gateway\redis-handler\redis.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\chat-gateway\redis-handler\redis.provider.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\gateway-handler\groups-gateway\group.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\gateway-handler\groups-gateway\groups-gateway.controller.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\gateway-handler\groups-gateway\groups-gateway.service.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 14, 82
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\gateway-handler\middlewares\auth-middleware.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\gateway-handler\users-gateway\users-gateway.controller.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 11, 8, 77
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\gateway-handler\users-gateway\users-gateway.service.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 23, 134
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\app\gateway-handler\users-gateway\users.module.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\src\main.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 7, 38
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\tsconfig.app.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\tsconfig.json", "JSON with Comments", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\tsconfig.spec.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\front-gateway\webpack.config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\.env", "Properties", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\.eslintrc.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 2, 21
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\jest.config.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\project.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\app.controller.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\app.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\chat-handler\chat.controller.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\chat-handler\chat.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\chat-handler\chat.queries.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\chat-handler\chat.service.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 8, 62
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\groups-handler\groups.controller.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\groups-handler\groups.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\groups-handler\groups.queries.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\groups-handler\groups.service.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 2, 14, 105
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\shared\modules\pg.module.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\shared\queries\start-app.queries.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\shared\services\pg.service.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 6, 42
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\user-handler\user.controller.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 11, 7, 61
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\user-handler\user.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\user-handler\user.queries.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\app\user-handler\user.service.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 13, 7, 69
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\src\main.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 6, 31
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\tsconfig.app.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\tsconfig.json", "JSON with Comments", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\tsconfig.spec.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\dando\Desktop\צבא\פרויקטים בצבא\chat-group\apps\group-chat-backend\webpack.config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 3, 15
